CountyUid,CountyCode,CountyName,SubCountyUid,SubCountyCode,SubCountyName,WardUid,WardCode,WardName
d03a57c2-089a-11eb-adc1-0242ac120002,1,"MOMBASA",4eb9cb86-089c-11eb-adc1-0242ac120002,1,"CHANGAMWE",9ec735c0-08ae-11eb-adc1-0242ac120002,1,"PORT REITZ"
d03a57c2-089a-11eb-adc1-0242ac120002,1,"MOMBASA",4eb9cb86-089c-11eb-adc1-0242ac120002,1,"CHANGAMWE",9ec738ea-08ae-11eb-adc1-0242ac120002,2,"KIPEVU"
d03a57c2-089a-11eb-adc1-0242ac120002,1,"MOMBASA",4eb9cb86-089c-11eb-adc1-0242ac120002,1,"CHANGAMWE",9ec73a16-08ae-11eb-adc1-0242ac120002,3,"AIRPORT"
d03a57c2-089a-11eb-adc1-0242ac120002,1,"MOMBASA",4eb9cb86-089c-11eb-adc1-0242ac120002,1,"CHANGAMWE",9ec73b06-08ae-11eb-adc1-0242ac120002,4,"CHANGAMWE"
d03a57c2-089a-11eb-adc1-0242ac120002,1,"MOMBASA",4eb9cb86-089c-11eb-adc1-0242ac120002,1,"CHANGAMWE",9ec73bf6-08ae-11eb-adc1-0242ac120002,5,"CHAANI"
d03a57c2-089a-11eb-adc1-0242ac120002,1,"MOMBASA",4eb9ce24-089c-11eb-adc1-0242ac120002,2,"JOMVU",9ec73d7c-08ae-11eb-adc1-0242ac120002,6,"JOMVU KUU"
d03a57c2-089a-11eb-adc1-0242ac120002,1,"MOMBASA",4eb9ce24-089c-11eb-adc1-0242ac120002,2,"JOMVU",9ec73e76-08ae-11eb-adc1-0242ac120002,7,"MIRITINI"
d03a57c2-089a-11eb-adc1-0242ac120002,1,"MOMBASA",4eb9ce24-089c-11eb-adc1-0242ac120002,2,"JOMVU",9ec73fde-08ae-11eb-adc1-0242ac120002,8,"MIKINDANI"
d03a57c2-089a-11eb-adc1-0242ac120002,1,"MOMBASA",4eb9cf3c-089c-11eb-adc1-0242ac120002,3,"KISAUNI",9ec740ce-08ae-11eb-adc1-0242ac120002,9,"MJAMBERE"
d03a57c2-089a-11eb-adc1-0242ac120002,1,"MOMBASA",4eb9cf3c-089c-11eb-adc1-0242ac120002,3,"KISAUNI",9ec741be-08ae-11eb-adc1-0242ac120002,10,"JUNDA"
d03a57c2-089a-11eb-adc1-0242ac120002,1,"MOMBASA",4eb9cf3c-089c-11eb-adc1-0242ac120002,3,"KISAUNI",9ec7429a-08ae-11eb-adc1-0242ac120002,11,"BAMBURI"
d03a57c2-089a-11eb-adc1-0242ac120002,1,"MOMBASA",4eb9cf3c-089c-11eb-adc1-0242ac120002,3,"KISAUNI",9ec7438a-08ae-11eb-adc1-0242ac120002,12,"MWAKIRUNGE"
d03a57c2-089a-11eb-adc1-0242ac120002,1,"MOMBASA",4eb9cf3c-089c-11eb-adc1-0242ac120002,3,"KISAUNI",9ec744e8-08ae-11eb-adc1-0242ac120002,13,"MTOPANGA"
d03a57c2-089a-11eb-adc1-0242ac120002,1,"MOMBASA",4eb9cf3c-089c-11eb-adc1-0242ac120002,3,"KISAUNI",9ec745b0-08ae-11eb-adc1-0242ac120002,14,"MAGOGONI"
d03a57c2-089a-11eb-adc1-0242ac120002,1,"MOMBASA",4eb9cf3c-089c-11eb-adc1-0242ac120002,3,"KISAUNI",9ec74678-08ae-11eb-adc1-0242ac120002,15,"SHANZU"
d03a57c2-089a-11eb-adc1-0242ac120002,1,"MOMBASA",4eb9d036-089c-11eb-adc1-0242ac120002,4,"NYALI",9ec74740-08ae-11eb-adc1-0242ac120002,16,"FRERE TOWN"
d03a57c2-089a-11eb-adc1-0242ac120002,1,"MOMBASA",4eb9d036-089c-11eb-adc1-0242ac120002,4,"NYALI",9ec747fe-08ae-11eb-adc1-0242ac120002,17,"ZIWA LA NG'OMBE"
d03a57c2-089a-11eb-adc1-0242ac120002,1,"MOMBASA",4eb9d036-089c-11eb-adc1-0242ac120002,4,"NYALI",9ec748bc-08ae-11eb-adc1-0242ac120002,18,"MKOMANI"
d03a57c2-089a-11eb-adc1-0242ac120002,1,"MOMBASA",4eb9d036-089c-11eb-adc1-0242ac120002,4,"NYALI",9ec74a10-08ae-11eb-adc1-0242ac120002,19,"KONGOWEA"
d03a57c2-089a-11eb-adc1-0242ac120002,1,"MOMBASA",4eb9d036-089c-11eb-adc1-0242ac120002,4,"NYALI",9ec74ace-08ae-11eb-adc1-0242ac120002,20,"KADZANDANI"
d03a57c2-089a-11eb-adc1-0242ac120002,1,"MOMBASA",4eb9d234-089c-11eb-adc1-0242ac120002,5,"LIKONI",9ec74b96-08ae-11eb-adc1-0242ac120002,21,"MTONGWE"
d03a57c2-089a-11eb-adc1-0242ac120002,1,"MOMBASA",4eb9d234-089c-11eb-adc1-0242ac120002,5,"LIKONI",9ec74c5e-08ae-11eb-adc1-0242ac120002,22,"SHIKA ADABU"
d03a57c2-089a-11eb-adc1-0242ac120002,1,"MOMBASA",4eb9d234-089c-11eb-adc1-0242ac120002,5,"LIKONI",9ec74d26-08ae-11eb-adc1-0242ac120002,23,"BOFU"
d03a57c2-089a-11eb-adc1-0242ac120002,1,"MOMBASA",4eb9d234-089c-11eb-adc1-0242ac120002,5,"LIKONI",9ec74e70-08ae-11eb-adc1-0242ac120002,24,"LIKONI"
d03a57c2-089a-11eb-adc1-0242ac120002,1,"MOMBASA",4eb9d234-089c-11eb-adc1-0242ac120002,5,"LIKONI",9ec74f38-08ae-11eb-adc1-0242ac120002,25,"TIMBWANI"
d03a57c2-089a-11eb-adc1-0242ac120002,1,"MOMBASA",4eb9d324-089c-11eb-adc1-0242ac120002,6,"MVITA",9ec74ff6-08ae-11eb-adc1-0242ac120002,26,"MJI WA KALE/MAKADARA"
d03a57c2-089a-11eb-adc1-0242ac120002,1,"MOMBASA",4eb9d324-089c-11eb-adc1-0242ac120002,6,"MVITA",9ec750b4-08ae-11eb-adc1-0242ac120002,27,"TUDOR"
d03a57c2-089a-11eb-adc1-0242ac120002,1,"MOMBASA",4eb9d324-089c-11eb-adc1-0242ac120002,6,"MVITA",9ec7517c-08ae-11eb-adc1-0242ac120002,28,"TONONOKA"
d03a57c2-089a-11eb-adc1-0242ac120002,1,"MOMBASA",4eb9d324-089c-11eb-adc1-0242ac120002,6,"MVITA",9ec7523a-08ae-11eb-adc1-0242ac120002,29,"SHIMANZI/GANJONI"
d03a57c2-089a-11eb-adc1-0242ac120002,1,"MOMBASA",4eb9d324-089c-11eb-adc1-0242ac120002,6,"MVITA",9ec75302-08ae-11eb-adc1-0242ac120002,30,"MAJENGO"
d03a5be6-089a-11eb-adc1-0242ac120002,2,"KWALE",4eb9d40a-089c-11eb-adc1-0242ac120002,7,"MSAMBWENI",9ec75438-08ae-11eb-adc1-0242ac120002,31,"GOMBATOBONGWE"
d03a5be6-089a-11eb-adc1-0242ac120002,2,"KWALE",4eb9d40a-089c-11eb-adc1-0242ac120002,7,"MSAMBWENI",9ec75500-08ae-11eb-adc1-0242ac120002,32,"UKUNDA"
d03a5be6-089a-11eb-adc1-0242ac120002,2,"KWALE",4eb9d40a-089c-11eb-adc1-0242ac120002,7,"MSAMBWENI",9ec755c8-08ae-11eb-adc1-0242ac120002,33,"KINONDO"
