Id,IcdCodeSubBlockId,Code,Name
<<<<<<< HEAD
1ED4B8B0-28DE-4E38-9CC9-724738813BD2,A1FAACE3-737B-4B0B-BEE7-6926AC12C681,A00.0,"Cholera due to Vibrio cholerae 01, biovar cholerae"
6B7240D0-DA5D-4893-BE44-59E137495225,A1FAACE3-737B-4B0B-BEE7-6926AC12C681,A00.1,"Cholera due to Vibrio cholerae 01, biovar eltor"
86E147AA-F572-46D1-97C3-437CF49C5C00,A1FAACE3-737B-4B0B-BEE7-6926AC12C681,A00.9,"Cholera, unspecified"
B9A70600-DBDB-4EBD-AAA5-DF9D95FD9284,D2D8234D-4001-452F-B318-A7C2BCB021AC,A01.0,"Typhoid fever"
A69E2796-3E3C-4D77-A05A-AFBA9DBC1749,D2D8234D-4001-452F-B318-A7C2BCB021AC,A01.1,"Paratyphoid fever A"
103FF5BF-DA4C-4CF2-9285-315BFBCCC43E,D2D8234D-4001-452F-B318-A7C2BCB021AC,A01.2,"Paratyphoid fever B"
FD42C79E-0919-43C4-871F-DEE723247A46,D2D8234D-4001-452F-B318-A7C2BCB021AC,A01.3,"Paratyphoid fever C"
C17AB9D8-C738-4BE0-B761-E9A12571FACA,D2D8234D-4001-452F-B318-A7C2BCB021AC,A01.4,"Paratyphoid fever, unspecified"
ED8636CE-0E6C-4754-A974-24CF505ACB09,EF872FF9-F21B-4B89-87D9-9DB9420FAAA9,A02.0,"Salmonella enteritis"
640A92C2-F8C4-483B-B3A2-BD36418419D6,EF872FF9-F21B-4B89-87D9-9DB9420FAAA9,A02.1,"Salmonella septicaemia"
411D1770-EC85-4CFD-BE9C-512BA75AD76B,EF872FF9-F21B-4B89-87D9-9DB9420FAAA9,A02.2,"Localized salmonella infections"
C1CAD86F-AF90-4241-B796-71A425B4B20A,EF872FF9-F21B-4B89-87D9-9DB9420FAAA9,A02.8,"Other specified salmonella infections"
C5A7590C-710E-483A-B0CD-2EC6EB6C3DC0,EF872FF9-F21B-4B89-87D9-9DB9420FAAA9,A02.9,"Salmonella infection, unspecified"
1171E901-3E57-423A-9D7C-633751AD4F44,B2376BA0-6392-43C1-A380-A7BB3860F8D3,A03.0,"Shigellosis due to Shigella dysenteriae"
04D277E4-3B40-4197-B160-7323A58C7995,B2376BA0-6392-43C1-A380-A7BB3860F8D3,A03.1,"Shigellosis due to Shigella flexneri"
03632699-0B4D-451C-BB44-A0446AEA1E28,B2376BA0-6392-43C1-A380-A7BB3860F8D3,A03.2,"Shigellosis due to Shigella boydii"
20003E3E-D5C0-4910-B025-445B4150AA02,B2376BA0-6392-43C1-A380-A7BB3860F8D3,A03.3,"Shigellosis due to Shigella sonnei"
ED14EB71-6F7C-4048-B639-56E9D7F0CEC4,B2376BA0-6392-43C1-A380-A7BB3860F8D3,A03.8,"Other shigellosis"
84315309-21A4-4618-B432-CB6B7883BAC1,B2376BA0-6392-43C1-A380-A7BB3860F8D3,A03.9,"Shigellosis, unspecified"
0ED31BE5-BA72-4592-A57D-631916050883,27785AA5-4983-4C1A-9987-A6DD2F6F3BAF,A04.0,"Enteropathogenic Escherichia coli infection"
980C03A0-DD55-4E28-8CA9-65FA88C4C28B,27785AA5-4983-4C1A-9987-A6DD2F6F3BAF,A04.1,"Enterotoxigenic Escherichia coli infection"
55BC00A1-A3E4-404A-AA64-DC93450EC1C0,27785AA5-4983-4C1A-9987-A6DD2F6F3BAF,A04.2,"Enteroinvasive Escherichia coli infection"
90691980-D8CB-43A3-B1E5-8AA86B27B2B8,27785AA5-4983-4C1A-9987-A6DD2F6F3BAF,A04.3,"Enterohaemorrhagic Escherichia coli infection"
1F09EFD1-48AF-4924-8AFB-D4964FAE4B8B,27785AA5-4983-4C1A-9987-A6DD2F6F3BAF,A04.4,"Other intestinal Escherichia coli infections"
240609B3-B034-4A51-8EA6-3995AD573DB5,27785AA5-4983-4C1A-9987-A6DD2F6F3BAF,A04.5,"Campylobacter enteritis"
D599FFC7-D7BA-4851-9B88-F9346F577A85,27785AA5-4983-4C1A-9987-A6DD2F6F3BAF,A04.6,"Enteritis due to Yersinia enterocolitica"
0F54D944-FEB7-4525-875F-2B3E00213B3A,27785AA5-4983-4C1A-9987-A6DD2F6F3BAF,A04.7,"Enterocolitis due to Clostridium difficile"
97211B5C-5395-4A70-A812-26D90876005B,27785AA5-4983-4C1A-9987-A6DD2F6F3BAF,A04.8,"Other specified bacterial intestinal infections"
44839C74-34FD-4B23-BF3F-D7F3792B1E0C,27785AA5-4983-4C1A-9987-A6DD2F6F3BAF,A04.9,"Bacterial intestinal infection, unspecified"
1A41C4F3-808B-43C0-9C8E-164C33C33096,FD38CE50-B036-40B4-85A4-216EEFD40EB7,A05.0,"Foodborne staphylococcal intoxication"
