Id,IcdCodeBlockId,Code,Name
A1FAACE3-737B-4B0B-BEE7-6926AC12C681,3241AD44-D25F-4EC3-A373-4DB214DC5C2E,A00,"Cholera"
D2D8234D-4001-452F-B318-A7C2BCB021AC,3241AD44-D25F-4EC3-A373-4DB214DC5C2E,A01,"Typhoid and paratyphoid fevers"
EF872FF9-F21B-4B89-87D9-9DB9420FAAA9,3241AD44-D25F-4EC3-A373-4DB214DC5C2E,A02,"Other salmonella infections"
B2376BA0-6392-43C1-A380-A7BB3860F8D3,3241AD44-D25F-4EC3-A373-4DB214DC5C2E,A03,"Shigellosis"
27785AA5-4983-4C1A-9987-A6DD2F6F3BAF,3241AD44-D25F-4EC3-A373-4DB214DC5C2E,A04,"Other bacterial intestinal infections"
FD38CE50-B036-40B4-85A4-216EEFD40EB7,3241AD44-D25F-4EC3-A373-4DB214DC5C2E,A05,"Other bacterial foodborne intoxications, not elsewhere classified"
9087A55D-024E-463F-BC65-7FAAE53EE38B,3241AD44-D25F-4EC3-A373-4DB214DC5C2E,A06,"Amoebiasis"
D0BA92F2-7068-4728-8037-4267F7DAC6EB,3241AD44-D25F-4EC3-A373-4DB214DC5C2E,A07,"Other protozoal intestinal diseases"
5EC9C772-BF55-4AF0-95F7-F560B89FADDB,3241AD44-D25F-4EC3-A373-4DB214DC5C2E,A08,"Viral and other specified intestinal infections"
8D38A68E-84CE-48B7-8D48-21995D54A78A,3241AD44-D25F-4EC3-A373-4DB214DC5C2E,A09,"Diarrhoea and gastroenteritis of presumed infectious origin"
B5E8A22C-6824-43ED-AB15-415498C77857,C785ACAF-91B5-4EBA-8940-CEEA5AF6F298,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed"
F229DD91-E148-402B-BFF1-13F704D21188,C785ACAF-91B5-4EBA-8940-CEEA5AF6F298,A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically"
BEEAF97B-EC4C-499E-9BB6-2BA5A5CBC63A,C785ACAF-91B5-4EBA-8940-CEEA5AF6F298,A17,"Tuberculosis of nervous system"
3B5A9BD3-6440-4379-BBE6-B2F08F9047F6,C785ACAF-91B5-4EBA-8940-CEEA5AF6F298,A18,"Tuberculosis of other organs"
061E672F-7178-4C7B-949D-2120101D1FCB,C785ACAF-91B5-4EBA-8940-CEEA5AF6F298,A19,"Miliary tuberculosis"
CA27DB1E-B89D-4A6A-B8B8-F19E88FD0406,FFF2E3E4-673C-476B-A081-ABA514B2813B,A20,"Plague"
EA26C7EF-CDE7-4FA1-BCA3-0C4BA6E34543,FFF2E3E4-673C-476B-A081-ABA514B2813B,A21,"Tularaemia"
B2B6A582-2277-4B86-9E9C-95D30F92B65D,FFF2E3E4-673C-476B-A081-ABA514B2813B,A22,"Anthrax"
967A9923-8C0B-4148-BA60-75AD4BBAD1B5,FFF2E3E4-673C-476B-A081-ABA514B2813B,A23,"Brucellosis"
CF0E24DD-28CA-4233-829F-1A7544F45DD6,FFF2E3E4-673C-476B-A081-ABA514B2813B,A24,"Glanders and melioidosis"
EB3AAE97-7572-48FF-91EE-A846372A0382,FFF2E3E4-673C-476B-A081-ABA514B2813B,A25,"Rat-bite fevers"
