Id,Name,DisplayName,ItemTypeId,ItemSubTypeId,ItemCode,ItemDescription,Abbreviation,Type
5F8191F6-994B-4940-9D3D-56A2B241E562,'5% DEXTROSE SALINE-5% DEXTROSE SALINE 5G/0.9G/100ML','5% DEXTROSE SALINE-5% DEXTROSE SALINE 5G/0.9G/100ML',8bfde5a4-e278-4071-98dd-9d2fc24e1345,CC3352F6-160D-4DDB-91E8-D6867C1E2EB4,2,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
B79DDB45-664A-4E58-A9FC-4AF8DDC20028,'ABACAVIR-ABC300 300MG','ABACAVIR-ABC300 300MG',8bfde5a4-e278-4071-98dd-9d2fc24e1345,44FC5D16-12E8-4E93-9796-0015B007ADD7,1095,Drug,ABC,d8701763-151e-4b8f-9661-af9c044f5f81,
F0EA4336-FCB9-4BAA-A20D-69EC14A8EF06,'ABACAVIR-ABC60/3TC30 60MG/30MG','ABACAVIR-ABC60/3TC30 60MG/30MG',8bfde5a4-e278-4071-98dd-9d2fc24e1345,44FC5D16-12E8-4E93-9796-0015B007ADD7,1146,Drug,ABC/3TC,d8701763-151e-4b8f-9661-af9c044f5f81,
2261BA74-0E28-4C6C-912F-14DBC10B38EA,'ABACAVIR/LAMIVUDINE-120MG/60MG','ABACAVIR/LAMIVUDINE-120MG/60MG',8bfde5a4-e278-4071-98dd-9d2fc24e1345,44FC5D16-12E8-4E93-9796-0015B007ADD7,6412,Drug,ABC/3TC,d8701763-151e-4b8f-9661-af9c044f5f81,
5E399FD5-DFAC-44B0-9FBD-B71D4B0800BD,'ABACAVIR/LAMIVUDINE-600MG/300MG','ABACAVIR/LAMIVUDINE-600MG/300MG',8bfde5a4-e278-4071-98dd-9d2fc24e1345,44FC5D16-12E8-4E93-9796-0015B007ADD7,6415,Drug,ABC/3TC,d8701763-151e-4b8f-9661-af9c044f5f81,
3BEAEE6F-8857-4A6A-8168-58DAF6DA510C,'ABACAVIR/LAMIVUDINE-ABC/3TC 120/60MG','ABACAVIR/LAMIVUDINE-ABC/3TC 120/60MG',8bfde5a4-e278-4071-98dd-9d2fc24e1345,44FC5D16-12E8-4E93-9796-0015B007ADD7,2228,Drug,ABC/3TC,d8701763-151e-4b8f-9661-af9c044f5f81,
DE2A7717-6241-4E97-A4A6-F987D4BBC5B1,'ABSORBABLE-SUTURE  N/A','ABSORBABLE-SUTURE  N/A',8bfde5a4-e278-4071-98dd-9d2fc24e1345,626B2E33-4121-4CB5-AF3A-EBE18C6D3D5C,1818,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
B5361694-D997-43ED-A38F-0A4A179BF97B,'ABSORBABLE-VICRYL NEB','ABSORBABLE-VICRYL NEB',8bfde5a4-e278-4071-98dd-9d2fc24e1345,626B2E33-4121-4CB5-AF3A-EBE18C6D3D5C,1784,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
0E3ECDAD-7D27-43AE-8055-CB37A72F91A2,'ACECLOFENAC+PARACETAMOL+CHLORZOXAZONE-ZULU MR TABS LEWA 100MG/500MG/500 MG','ACECLOFENAC+PARACETAMOL+CHLORZOXAZONE-ZULU MR TABS LEWA 100MG/500MG/500 MG',8bfde5a4-e278-4071-98dd-9d2fc24e1345,A3B49510-49FA-48D3-A1E1-579501EA1121,6406,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
BDBAE4CC-03BE-4704-B18A-0F14AE2C2D0E,'ACECLOFENAC-ACECLOFENAC TABS LEWA 100MG','ACECLOFENAC-ACECLOFENAC TABS LEWA 100MG',8bfde5a4-e278-4071-98dd-9d2fc24e1345,A3B49510-49FA-48D3-A1E1-579501EA1121,6407,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
